Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Seychelles,SLE,1227634,1252068,1267836,1310900,1256220,7328846,7488427,7650149,7813207,7976985
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Sierra Leone,SGP,78031,81486,83941,84102,79816,5607283,5612253,5638676,5703569,5685807
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Singapore,SXM,44136,40956,38178,0,0,39969,40574,40654,40733,40812
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Sint Maarten (Dutch part),SVK,15001,15426,15967,16346,15555,5430798,5439232,5446771,5454147,5458827
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Slovak Republic,SVN,19415,20332,21147,21669,20356,2065042,2066388,2073894,2088385,2100126
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Slovenia,SLB,16163,16583,16792,16564,15455,619438,636030,652856,669821,686878
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Solomon Islands,SOM,5765766,5684281,5679767,5679747,5436304,14185635,14589165,15008225,15442906,15893219
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Somalia,ZAF,54734,54727,54411,53781,49405,56207649,57009751,57792520,58558267,59308690
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Africa,SSD,0,0,0,0,0,10832520,10910774,10975924,11062114,11193729
GDP per capita (constant LCU),NY.GDP.PCAP.KN,S. Sudan,ESP,23885,24537,25024,25330,22480,46484062,46593236,46797754,47133521,47351567
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Spain,LKA,426158,436446,446026,453302,434810,21203000,21444000,21670000,21803000,21919000
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Sri Lanka,KNA,39750,38659,39485,39994,35457,51629,52036,52438,52834,53192
GDP per capita (constant LCU),NY.GDP.PCAP.KN,St. Kitts and Nevis,LCA,29169,30032,30666,31042,24655,180028,180955,181890,182795,183629
GDP per capita (constant LCU),NY.GDP.PCAP.KN,St. Lucia,MAF,0,0,0,0,0,36061,36569,37264,38002,38659
GDP per capita (constant LCU),NY.GDP.PCAP.KN,St. Martin (French part),VCT,16081,16189,16482,16506,16004,109467,109826,110210,110593,110947
GDP per capita (constant LCU),NY.GDP.PCAP.KN,St. Vincent and the Grenadines,SDN,855,874,878,845,813,39847433,40813398,41801532,42813237,43849269
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Sudan,SUR,29482,29649,30820,30871,26157,564883,570501,575987,581363,586634
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Suriname,SWZ,35863,36238,36723,37159,36172,1113994,1124808,1136274,1148133,1160164
